City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
6,butaritari,KI,82.4,few clouds,3.0707,172.7902,Isles Sunset Lodge
7,bubaque,GW,77.02,clear sky,11.2833,-15.8333,"Casa Dora, Bubaque"
9,cairns,AU,79.11,light rain,-16.9167,145.7667,Mantra Trilogy Cairns
10,acajutla,SV,81.97,few clouds,13.5928,-89.8275,Laureles
11,faanui,PF,82.18,clear sky,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
12,mahebourg,MU,75.25,broken clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
14,vaini,TO,78.96,scattered clouds,-21.2,-175.2,Keleti Beach Resort
16,bathsheba,BB,81.21,few clouds,13.2167,-59.5167,Atlantis Hotel
20,georgetown,MY,85.98,few clouds,5.4112,100.3354,Cititel Penang
21,dunmore town,BS,80.08,overcast clouds,25.5,-76.65,Coral Sands Hotel
22,port moresby,PG,89.02,scattered clouds,-9.4431,147.1797,Lamana Hotel (Port Moresby)
23,rikitea,PF,77.43,light rain,-23.1203,-134.9692,People ThankYou
24,lahad datu,MY,87.73,overcast clouds,5.0268,118.327,The 27th House
26,bambous virieux,MU,75.22,broken clouds,-20.3428,57.7575,Casa Tia Villa
29,beawar,IN,89.91,clear sky,26.1,74.3167,HOTEL JYOTI PARADISE
31,tautira,PF,81.1,clear sky,-17.7333,-149.15,Pension Oaoa
33,puerto escondido,MX,81.43,few clouds,15.85,-97.0667,Aldea del Bazar Hotel and Spa
34,muisne,EC,77.81,light rain,0.6,-80.0333,Quinta Samay
35,sancti spiritus,CU,76.14,clear sky,21.9297,-79.4425,Hostal El Parque
38,alyangula,AU,85.87,broken clouds,-13.8483,136.4192,Groote Eylandt Lodge
40,nha trang,VN,87.8,broken clouds,12.25,109.1833,Hanoi Golden Hotel
56,kutoarjo,ID,86.56,overcast clouds,-7.7169,109.9128,Massagus Hotel
57,abu dhabi,AE,84.31,clear sky,24.4667,54.3667,Beach Rotana
58,acapulco,MX,79.77,overcast clouds,16.8634,-99.8901,HS Hotsson Smart Acapulco
59,port-gentil,GA,79.66,overcast clouds,-0.7193,8.7815,Fengshui Residence
77,lae,PG,84.87,few clouds,-6.7221,146.9847,Phils Hotel
84,lorengau,PG,83.26,scattered clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
87,ponnani,IN,76.32,broken clouds,10.767,75.9252,Rouba Residency
91,kapaa,US,82.38,broken clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
93,bengkulu,ID,80.53,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
100,sola,VU,81.43,few clouds,-13.8833,167.55,Leumerus Bungalows
101,atuona,PF,78.91,scattered clouds,-9.8,-139.0333,Villa Enata
105,kouroussa,GN,77.97,broken clouds,10.65,-9.8833,Hotel Tando Plus
106,hithadhoo,MV,84.2,few clouds,-0.6,73.0833,Scoop Guest House
112,eyl,SO,81.61,moderate rain,7.9803,49.8164,Amiin Hotel
117,avarua,CK,80.94,scattered clouds,-21.2078,-159.775,Paradise Inn
120,vanimo,PG,86.56,scattered clouds,-2.6741,141.3028,Vahmoneh Lodge Vanimo
123,loanda,AO,77.0,broken clouds,-8.8368,13.2343,EPIC SANA Luanda
125,hirara,JP,80.87,broken clouds,24.8,125.2833,Hotel Atoll Emerald Miyakojima
130,aksu,CN,76.64,clear sky,41.1231,80.2644,Pudong Holiday Hotel
134,tianmen,CN,78.75,few clouds,30.6516,113.1603,Tianmen Luyu Hotel
138,bosaso,SO,85.39,clear sky,11.2842,49.1816,Red Sea Hotel
144,kloulklubed,PW,75.7,overcast clouds,7.0419,134.2556,Storyboard Beach Resort
145,buala,SB,84.25,light rain,-8.145,159.5921,Maringe Lagoon Lodge
147,kavieng,PG,86.07,scattered clouds,-2.5744,150.7967,Nusa Island Retreat
148,atar,MR,85.46,scattered clouds,20.5169,-13.0499,Oumou Elghoura
149,mount isa,AU,80.37,clear sky,-20.7333,139.5,ibis Styles Mt Isa Verona
151,takoradi,GH,79.23,light rain,4.8845,-1.7554,Raybow International Hotel
154,pontianak,ID,82.38,few clouds,-0.0333,109.3333,Aston Pontianak Hotel & Convention Center
156,pahrump,US,84.25,broken clouds,36.2083,-115.9839,Best Western Pahrump Oasis
159,seydi,TM,85.21,overcast clouds,39.4816,62.9137,Seydi oteli
166,ixtapa,MX,77.23,clear sky,20.7,-105.2,hotel la terminal
168,bodden town,KY,82.4,few clouds,19.2833,-81.25,Will T Place
169,stephenville,US,85.15,clear sky,32.2207,-98.2023,La Quinta Inn & Suites by Wyndham Stephenville
171,hobyo,SO,82.27,overcast clouds,5.3505,48.5268,Iftin hotel hobyo
173,kavali,IN,89.17,scattered clouds,14.9167,79.9833,Hotel Mourya Paradise
176,victoria,HK,85.17,overcast clouds,22.2855,114.1577,Mini Hotel Central
177,galveston,US,81.18,clear sky,29.3669,-94.9669,Crystal Suites
185,port hedland,AU,87.85,broken clouds,-20.3167,118.5667,The Esplanade Hotel
186,hilo,US,86.29,moderate rain,19.7297,-155.09,Hilo Hawaiian Hotel
189,nicoya,CR,79.16,overcast clouds,10.1483,-85.452,Las Cabinas Del Sueño
190,pandan,PH,86.9,few clouds,14.0453,124.1694,Bonifacio Lodge
191,alofi,NU,78.69,overcast clouds,-19.0595,-169.9187,Taloa Heights
195,carutapera,BR,76.23,heavy intensity rain,-1.195,-46.02,Lidera
197,ciudad bolivar,VE,78.66,overcast clouds,8.1222,-63.5497,Hotel Edi
203,dicabisagan,PH,87.3,overcast clouds,17.0818,122.4157,Nancy Montanes Bernardo
204,lahij,YE,78.44,scattered clouds,13.1667,44.5833,
208,hambantota,LK,82.74,broken clouds,6.1241,81.1185,Bungalow 63
209,salalah,OM,82.49,scattered clouds,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
221,kahului,US,78.82,few clouds,20.8947,-156.47,Maui Seaside Hotel
226,birao,CF,77.79,broken clouds,10.2849,22.7882,
229,gamba,GA,75.76,overcast clouds,-2.65,10.0,
233,nurota,UZ,81.79,scattered clouds,40.5614,65.6886,Guest House Ruslan Nurata & Tours
237,kencong,ID,85.68,overcast clouds,-8.2833,113.3667,GUBUK SUGIANTO
238,iberia,US,80.67,clear sky,29.9502,-91.7507,back to back rv park
242,macapa,BR,80.58,few clouds,0.0389,-51.0664,Atalanta Hotel
247,iranshahr,IR,82.74,clear sky,27.2025,60.6848,نیک سرشت
248,moerai,PF,79.16,broken clouds,-22.4333,-151.3333,Le Manotel
258,charters towers,AU,78.33,overcast clouds,-20.1,146.2667,Cattleman's Rest Motor Inn
259,carnarvon,AU,77.07,scattered clouds,-24.8667,113.6333,Hospitality Carnarvon
263,mogadishu,SO,81.21,clear sky,2.0371,45.3438,Hotel Juba
264,port blair,IN,84.0,overcast clouds,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
270,taoudenni,ML,81.36,clear sky,22.6783,-3.9836,
273,luanda,AO,77.0,broken clouds,-8.8368,13.2343,EPIC SANA Luanda
275,kavaratti,IN,84.58,broken clouds,10.5669,72.642,Hotels in Lakshadweep Islands
279,cabo san lucas,MX,79.61,clear sky,22.8909,-109.9124,Hotel Tesoro Los Cabos
280,merauke,ID,84.87,heavy intensity rain,-8.4667,140.3333,
284,majene,ID,85.21,broken clouds,-3.5403,118.9707,Kost Putri RABBANI
293,san miguel,SV,83.86,few clouds,13.4833,-88.1833,Excalibur
295,qandala,SO,85.03,few clouds,11.472,49.8728,
297,tiarei,PF,80.62,scattered clouds,-17.5333,-149.3333,Le Rocher de Tahiti
305,sur,OM,86.54,clear sky,22.5667,59.5289,Sur Plaza Hotel
314,lazaro cardenas,MX,76.3,scattered clouds,17.9583,-102.2,HOTEL QUINTA ANTIGUA
315,saint george,US,86.59,clear sky,37.1041,-113.5841,Best Western Plus Abbey Inn
317,poum,NC,78.24,broken clouds,-20.2333,164.0167,
326,cap malheureux,MU,75.47,scattered clouds,-19.9842,57.6142,Pereybere Hotel & Spa
329,boa vista,BR,78.78,scattered clouds,2.8197,-60.6733,Aipana Plaza Hotel
331,edd,ER,82.78,overcast clouds,13.9297,41.6925,
344,khopoli,IN,85.51,clear sky,18.7833,73.3333,The Dukes Retreat
345,vertientes,CU,77.61,clear sky,21.2594,-78.1464,
346,guiyang,CN,75.69,scattered clouds,26.5833,106.7167,Guo Tai Hotel Guiyang
349,mayakonda,IN,81.88,scattered clouds,14.2833,76.0833,
350,iralaya,HN,80.44,broken clouds,15.0,-83.2333,Iglesia morava renovada
352,yaan,NG,76.5,light rain,7.3833,8.5667,
355,tezu,IN,86.09,broken clouds,27.9167,96.1667,Circuit House
356,buchanan,LR,77.41,moderate rain,5.8808,-10.0467,Kamaneahn Hotel Inc
360,podor,MR,81.66,clear sky,16.6527,-14.9587,Auberge Du Tékrour
364,dingle,PH,88.57,overcast clouds,10.9995,122.6711,SEGAYA PROPERTY
370,bogale,MM,82.76,overcast clouds,16.2833,95.4,Aung Pin Lel Guest House
372,touros,BR,76.57,overcast clouds,-5.1989,-35.4608,INN NEW HORIZON
373,nuevo progreso,MX,80.55,clear sky,23.1667,-97.95,Balneario Rio el Paraiso
374,high rock,BS,77.02,clear sky,26.6208,-78.2833,Hideaway Bahamas Beach Club
380,ha giang,VN,85.3,broken clouds,22.8333,104.9833,Truong Xuan Resort
385,san patricio,US,81.54,clear sky,28.017,-97.5169,"Motel 6 Sinton, TX"
390,shache,CN,78.01,broken clouds,38.4167,77.2406,Delong Hotel
391,hami,CN,79.23,overcast clouds,42.8,93.45,Laoyutang Resort
398,kudahuvadhoo,MV,84.29,scattered clouds,2.6708,72.8944,Niyama Private Islands Maldives
400,banjar,ID,89.4,overcast clouds,-8.19,114.9675,The Hamsa Resort
401,padang,ID,82.45,overcast clouds,-0.9492,100.3543,Mercure Padang
402,tual,ID,84.81,scattered clouds,-5.6667,132.75,Grand Vilia Hotel
406,eydhafushi,MV,84.79,broken clouds,5.1033,73.0708,Soneva Fushi
407,samarai,PG,84.49,scattered clouds,-10.6167,150.6667,Nuli Sapi
408,razam,IN,88.99,broken clouds,18.4667,83.6667,Taj bakery and sweets
411,geraldton,AU,79.21,scattered clouds,-28.7667,114.6,Broadwater Mariner Resort
429,matara,LK,85.17,broken clouds,5.9485,80.5353,Amaloh Boutique Resort
430,banda aceh,ID,84.22,overcast clouds,5.5577,95.3222,OYO 884 Rumoh PMI Hotel
433,tumbagaan,PH,84.0,overcast clouds,5.3656,120.3139,
441,puerto colombia,CO,80.69,few clouds,10.9878,-74.9547,Hotel El Emigrante
445,pitimbu,BR,75.79,overcast clouds,-7.4706,-34.8086,Reserva do Abiaí
455,aloleng,PH,89.29,overcast clouds,16.1307,119.7824,Steve Walden and Emma Sison-Walden Residence
458,loreto,MX,77.61,broken clouds,22.2667,-101.9667,José de Jesús Velásquez mora
459,isangel,VU,78.28,clear sky,-19.55,169.2667,Tanna Lodge
