City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Mecca,SA,2022-05-06 00:17:31,21.4267,39.8261,80.11,51,2,5.17
1,Katherine,AU,2022-05-06 00:17:31,-14.4667,132.2667,79.12,29,0,14.97
2,Ahvaz,IR,2022-05-06 00:13:54,31.3203,48.6693,82.35,27,5,9.95
3,San Patricio,US,2022-05-06 00:17:32,28.017,-97.5169,87.89,70,65,14.18
4,Punta Arenas,CL,2022-05-06 00:13:46,-53.15,-70.9167,42.91,70,75,34.52
5,Cabo Rojo,PR,2022-05-06 00:17:32,18.0866,-67.1457,80.98,80,85,8.25
6,Shumskiy,RU,2022-05-06 00:17:33,54.8318,99.1328,41.41,48,100,7.54
7,Owo,NG,2022-05-06 00:17:33,7.1962,5.5868,74.19,93,89,3.65
8,Upernavik,GL,2022-05-06 00:17:34,72.7868,-56.1549,5.56,91,40,5.03
9,Busselton,AU,2022-05-06 00:17:34,-33.65,115.3333,54.77,64,0,12.03
10,Hermanus,ZA,2022-05-06 00:17:22,-34.4187,19.2345,59.36,94,8,8.23
11,Boshnyakovo,RU,2022-05-06 00:17:34,49.6333,142.1667,46.69,85,98,12.3
12,Te Anau,NZ,2022-05-06 00:17:35,-45.4167,167.7167,60.66,69,49,2.66
13,Caravelas,BR,2022-05-06 00:09:13,-17.7125,-39.2481,79.65,80,0,12.53
14,Saint-Philippe,RE,2022-05-06 00:13:20,-21.3585,55.7679,74.79,86,69,15.5
15,Bandarbeyla,SO,2022-05-06 00:17:35,9.4942,50.8122,80.13,91,7,10.09
16,Vaini,TO,2022-05-06 00:13:06,-21.2,-175.2,80.76,78,75,9.22
17,Bluff,NZ,2022-05-06 00:08:56,-46.6,168.3333,57.96,76,83,6.82
18,Hithadhoo,MV,2022-05-06 00:07:54,-0.6,73.0833,84.27,73,100,14.72
19,Nikolskoye,RU,2022-05-06 00:17:36,59.7035,30.7861,46.29,69,80,6.6
20,Yellowknife,CA,2022-05-06 00:15:54,62.456,-114.3525,53.56,50,75,10.0
21,Kaitangata,NZ,2022-05-06 00:09:10,-46.2817,169.8464,61.5,64,94,2.62
22,Vestmanna,FO,2022-05-06 00:17:36,62.1564,-7.1664,47.32,93,100,6.91
23,Honiara,SB,2022-05-06 00:17:37,-9.4333,159.95,86.9,64,59,5.77
24,Castro,BR,2022-05-06 00:07:53,-24.7911,-50.0119,58.95,87,90,3.18
25,Jamestown,US,2022-05-06 00:09:04,42.097,-79.2353,58.64,58,0,8.05
26,Saint-Joseph,RE,2022-05-06 00:17:37,-21.3667,55.6167,73.78,82,40,15.28
27,Alofi,NU,2022-05-06 00:07:21,-19.0595,-169.9187,78.8,69,21,6.26
28,Prado,BR,2022-05-06 00:17:38,-17.3411,-39.2208,79.57,81,0,14.99
29,Senno,RU,2022-05-06 00:17:38,59.5336,33.9167,34.27,76,74,5.48
30,Sandwick,GB,2022-05-06 00:17:39,60.0,-1.25,49.82,93,100,13.8
31,Albany,US,2022-05-06 00:17:39,42.6001,-73.9662,61.45,59,100,4.07
32,Pisco,PE,2022-05-06 00:05:13,-13.7,-76.2167,64.45,82,0,16.11
33,Lebu,CL,2022-05-06 00:17:14,-37.6167,-73.65,53.08,85,23,5.26
34,Hilo,US,2022-05-06 00:07:47,19.7297,-155.09,85.28,86,100,4.61
35,Mataura,NZ,2022-05-06 00:09:05,-46.1927,168.8643,62.2,62,62,2.21
36,Chokurdakh,RU,2022-05-06 00:17:40,70.6333,147.9167,26.31,92,100,8.68
37,Tuatapere,NZ,2022-05-06 00:17:40,-46.1333,167.6833,62.46,67,62,3.27
38,Hami,CN,2022-05-06 00:17:40,42.8,93.45,74.43,25,95,7.23
39,Puerto Ayora,EC,2022-05-06 00:04:03,-0.7393,-90.3518,73.72,92,100,8.19
40,Thompson,CA,2022-05-06 00:15:19,55.7435,-97.8558,39.36,81,100,6.91
41,Souillac,MU,2022-05-06 00:07:43,-20.5167,57.5167,75.58,81,76,20.07
42,Ushuaia,AR,2022-05-06 00:18:41,-54.8,-68.3,46.06,66,40,4.61
43,Barrow,US,2022-05-06 00:15:19,71.2906,-156.7887,17.62,79,100,16.11
44,Saint Anthony,US,2022-05-06 00:18:41,45.0205,-93.218,65.14,40,100,5.75
